user_id,user_question_number,is_shared,data_type,audience_type,data_contains_img,data_contains_loc,num_likes,num_comments,data_category,data_visibility_setting,published_at_weekend,published_timeframe
1,1,TRUE,Checkin,Clinician,FALSE,FALSE,0,0,Tour Agency,,TRUE,Evening
1,2,TRUE,Album,Group,TRUE,TRUE,2,2,,Friends,FALSE,Night
1,3,TRUE,Note,Public,TRUE,FALSE,2,1,,Friends,FALSE,Morning
1,4,TRUE,Checkin,Group,FALSE,FALSE,0,0,Coffee Shop,,TRUE,Afternoon
1,5,TRUE,Album,Group,TRUE,TRUE,0,0,,Public,TRUE,Evening
1,6,TRUE,Like,Clinician,FALSE,FALSE,0,0,Media/News Company,,TRUE,Morning
1,7,TRUE,Photo,Group,TRUE,TRUE,0,0,,,FALSE,Afternoon
1,8,TRUE,Note,Group,FALSE,FALSE,25,7,,Friends,FALSE,Afternoon
1,9,TRUE,Photo,Researcher,TRUE,TRUE,1,0,,,FALSE,Afternoon
1,10,TRUE,Album,Researcher,TRUE,TRUE,0,0,,Public,FALSE,Morning
1,11,TRUE,Photo,Group,TRUE,TRUE,1,0,,,TRUE,Night
1,12,FALSE,Like,Clinician,FALSE,FALSE,0,0,Public Figure,,TRUE,Afternoon
1,13,FALSE,Checkin,Clinician,FALSE,FALSE,0,0,Company,,FALSE,Morning
1,14,TRUE,Album,Public,TRUE,TRUE,0,0,,Friends,FALSE,Night
1,15,FALSE,Checkin,Group,FALSE,FALSE,0,0,City,,FALSE,Evening
1,16,TRUE,Album,Group,TRUE,TRUE,1,0,,Friends,FALSE,Night
1,17,FALSE,Note,Researcher,TRUE,FALSE,1,0,,Friends,TRUE,Night
1,18,TRUE,Album,Public,TRUE,TRUE,0,0,,Friends,FALSE,Afternoon
1,19,FALSE,Like,Clinician,FALSE,FALSE,0,0,Public Figure,,FALSE,Night
1,20,FALSE,Checkin,Group,FALSE,FALSE,0,0,Shopping & Retail,,FALSE,Afternoon
1,21,FALSE,Checkin,Researcher,FALSE,FALSE,0,0,"Outdoor, Recreation & Fitness",,FALSE,Morning
1,22,FALSE,Like,Researcher,FALSE,FALSE,0,0,Just For Fun,,FALSE,Evening
1,23,FALSE,Note,Researcher,TRUE,FALSE,0,0,,Friends,FALSE,Evening
1,24,TRUE,Album,Group,TRUE,TRUE,0,0,,Friends,FALSE,Night
1,25,FALSE,Like,Researcher,FALSE,FALSE,0,0,Sports Team,,FALSE,Evening
1,26,FALSE,Note,Public,TRUE,FALSE,0,0,,Friends,FALSE,Afternoon
1,27,FALSE,Checkin,Clinician,FALSE,FALSE,0,0,Arts & Entertainment,,TRUE,Evening
1,28,FALSE,Album,Researcher,TRUE,TRUE,0,0,,Public,FALSE,Afternoon
1,29,TRUE,Photo,Public,TRUE,TRUE,0,0,,,TRUE,Night
1,30,TRUE,Album,Clinician,TRUE,TRUE,0,0,,Public,TRUE,Morning
1,31,FALSE,Like,Group,FALSE,FALSE,0,0,Skin Care Service,,FALSE,Night
1,32,TRUE,Photo,Public,TRUE,TRUE,0,0,,,TRUE,Evening
1,33,FALSE,Like,Clinician,FALSE,FALSE,0,0,Arts & Entertainment,,TRUE,Evening
1,34,FALSE,Like,Public,FALSE,FALSE,0,0,Arts & Entertainment,,TRUE,Night
1,35,FALSE,Note,Clinician,TRUE,TRUE,6,2,Local Business,Friends,TRUE,Night
1,36,FALSE,Album,Public,TRUE,TRUE,1,0,,Friends,FALSE,Night
1,37,TRUE,Photo,Group,TRUE,TRUE,1,0,,,FALSE,Morning
1,38,FALSE,Album,Researcher,TRUE,TRUE,0,0,,Friends,FALSE,Night
1,39,FALSE,Like,Clinician,FALSE,FALSE,0,0,Artist,,FALSE,Evening
1,40,TRUE,Note,Group,FALSE,TRUE,7,0,Local Business,Friends,FALSE,Morning
1,41,FALSE,Checkin,Public,FALSE,FALSE,0,0,Coffee Shop,,TRUE,Afternoon
1,42,FALSE,Checkin,Clinician,FALSE,FALSE,0,0,Museum/Art Gallery,,FALSE,Morning
1,43,FALSE,Photo,Clinician,TRUE,TRUE,1,0,,,FALSE,Night
1,44,TRUE,Note,Clinician,TRUE,FALSE,3,1,,Friends,TRUE,Afternoon
1,45,FALSE,Like,Clinician,FALSE,FALSE,0,0,Pet,,FALSE,Night
1,46,FALSE,Note,Public,TRUE,FALSE,25,10,,Friends,FALSE,Afternoon
1,47,FALSE,Like,Group,FALSE,FALSE,0,0,Food & Beverage Company,,FALSE,Morning
1,48,TRUE,Photo,Public,TRUE,TRUE,0,0,,,FALSE,Night
1,49,FALSE,Photo,Clinician,TRUE,TRUE,0,0,,,TRUE,Night
1,50,FALSE,Note,Researcher,FALSE,FALSE,0,0,,Friends,TRUE,Afternoon
1,51,FALSE,Checkin,Public,FALSE,FALSE,0,0,American Restaurant,,FALSE,Afternoon
1,52,FALSE,Photo,Group,TRUE,TRUE,0,0,,,FALSE,Afternoon
1,53,TRUE,Photo,Public,TRUE,TRUE,0,0,,,FALSE,Night
1,54,FALSE,Checkin,Clinician,FALSE,FALSE,0,0,Family Style Restaurant,,FALSE,Afternoon
1,55,TRUE,Note,Researcher,TRUE,FALSE,6,0,,Friends,FALSE,Morning
1,56,FALSE,Checkin,Researcher,FALSE,FALSE,0,0,Local Business,,FALSE,Evening
1,57,TRUE,Note,Researcher,FALSE,FALSE,3,2,,Friends,FALSE,Night
1,58,FALSE,Like,Public,FALSE,FALSE,0,0,Medical & Health,,FALSE,Night
1,59,FALSE,Like,Clinician,FALSE,FALSE,0,0,Artist,,TRUE,Afternoon
1,60,FALSE,Album,Clinician,TRUE,TRUE,0,0,,Friends,FALSE,Morning
1,61,FALSE,Like,Public,FALSE,FALSE,0,0,Medical & Health,,FALSE,Morning
1,62,FALSE,Like,Clinician,FALSE,FALSE,0,0,App Page,,FALSE,Evening
1,63,FALSE,Photo,Group,TRUE,TRUE,0,0,,,FALSE,Afternoon
1,64,FALSE,Photo,Researcher,TRUE,TRUE,0,0,,,FALSE,Night
1,65,FALSE,Like,Researcher,FALSE,FALSE,0,0,Musician/Band,,FALSE,Evening
1,66,FALSE,Album,Researcher,TRUE,TRUE,0,0,,Custom,TRUE,Afternoon
1,67,FALSE,Photo,Group,TRUE,TRUE,0,0,,,TRUE,Night
1,68,FALSE,Photo,Researcher,TRUE,TRUE,2,0,,,TRUE,Night
